"record_id","source","source_type","search_query","brand_or_platform","title_or_context","comment_text","original_text","translated_text","published_date","source_url","likes_or_upvotes","product_category","language","relevance_score","collection_timestamp"
"05597d2f-a87e-40e1-8604-d14c0f21cedc","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","I've been using Myntra for the last 9 years, and honestly, it's my go-to shopping app for almost everything. Whether I'm shopping for fashion, home essentials, makeup, or even something for my daughter, Myntra always has so many amazing options. What I love the most is how easy the app is to use. It's super simple to explore, find exactly what you're looking for, and discover new products. Plus, the deals and discounts are always amazing, so you can shop without spending a fortune.","","","2026-08-02T23:11:36+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","5","accessories","en","0.8","2026-08-18T18:15:36.287062+00:00"
"120ecdc8-24bf-4947-af0c-3fd18c5946c6","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Horrible experience with the delivery, always getting delivered delayed then order gets cancelled on its own, same order, same address if placed from a different account works. there's nothing wrong with my account but I often get this issue, I don't even have any returns or anything and I'm one of the so-called ""Insider"" who has spent a lot on the app. And don't even get me started on the Support, the AI chatbot is useless, can't get in touch with a human at all. Extremely unprofessional.","","","2026-08-04T12:58:56+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","4","clothing","en","0.84","2026-08-18T18:15:36.287062+00:00"
"aad07d3b-8edf-44bd-95d7-8609e262143d","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Myntra is one of the best shopping apps for fashion and clothing. The app is easy to use, there are plenty of options from different brands, and the product quality is generally very good. Delivery is also fast and the return/exchange process is quite convenient. Overall, I’ve had a great shopping experience with Myntra and would definitely recommend it to others.","","","2026-08-09T13:55:56+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","2","innerwear","en","0.94","2026-08-18T18:15:36.287062+00:00"
"0efa7a30-5a1a-4d0e-b560-eddc176f4119","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Worst shopping app. They have no value for their customers. My order was delayed several times without any proper update, and then it was cancelled without my permission or even informing me beforehand. This is completely unacceptable. Customer service failed to resolve the issue and kept extending the delivery date instead. Very disappointing experience. I expected much better from Myntra.","","","2026-08-06T09:56:11+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","5","general","en","0.87","2026-08-18T18:15:36.287062+00:00"
"0b0fe33a-6cf4-42c6-8dca-7434fa2e0cc4","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","1 Star 1 Star. This app attracts customers with low-price offers, takes payment upfront, then delays the order with vague ""logistics issues."" After making you wait for days, they cancel the order and hold your refund for another 2–3 days. By then, the same product is available only at a much higher price. This is a complete waste of time and a terrible customer experience. I won't trust their offers again. Don't trust the offers if you don't want your money stuck for days and your order","","","2026-08-01T15:13:32+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","6","general","en","1.0","2026-08-18T18:15:36.287062+00:00"
"1d3e9689-b496-414c-8e1f-98e1c09c6070","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Myntra used to offer high quality products but now it just feels cheap. I ordered a dress but I had an issue with size so I asked for exchange and they gave a completely different product in exchange. And after that they closed their return as well as exchange window for the product. And they don't even have a customer support option whenever I try to connect with them they just offer an automated call and end the query.","","","2026-08-10T14:06:30+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","2","clothing","en","1.0","2026-08-18T18:15:36.287695+00:00"
"afb647e9-db2d-44c0-beac-211da36535e3","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Very poor service. They are focused on their app and clothing brands, but not on delivery. My order is highly delayed even after choosing express delivery. Customer service is not giving a proper response about the delay. Whenever I call, they keep me on hold for a long time. Very disappointing experience with both delivery and customer support.","","","2026-08-15T12:47:34+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","0","innerwear","en","0.66","2026-08-18T18:15:36.287695+00:00"
"6b205f77-0ddf-42f6-8284-9f971b571ccd","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","I have been placing order on myntra and on the delivery date it says sorry your item couldn't be deliverer. then they show a different date and on that date too the same message appears. when we try to track the item it says it have reached the nearby hub also. then what is the issue with delivering order. this keeps repeating for my past few orders. Eventhough we raise issue with the team, they are also not sure about the delivery and gives automated messages like they will try to deliver it.","","","2026-08-10T09:26:26+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","3","accessories","en","0.8","2026-08-18T18:15:36.287695+00:00"
"ca405206-7074-4b30-90f0-bb5b2c9b2612","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","I’ve been using Myntra for almost 7 years, and I genuinely love the app! ❤️ The variety of clothes, footwear, beauty products, and brands is amazing, and I’ve always had a great shopping experience. The app is easy to use, products are usually good quality, delivery is convenient, and the offers and discounts are a big plus. 🛍️✨ Myntra has been one of my favourite shopping apps for years, and I’ll definitely continue shopping here! ❤️","","","2026-08-10T11:39:33+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","2","innerwear","en","1.0","2026-08-18T18:15:36.287695+00:00"
"b350a31b-458c-4670-a276-a05317851bc4","Google Play Store","review","Myntra app review","Myntra","Myntra - Google Play Store Review","Very disappointing experience with Myntra. This has happened to me twice now. I returned the products, and the app showed that the refund had been processed, but I still haven’t received the money in my account. Even after waiting, the refund amount has not been credited. Facing the same issue twice is extremely frustrating. Myntra really needs to improve its refund process and resolve such issues properly.","","","2026-08-11T22:14:06+00:00","https://play.google.com/store/apps/details?id=com.myntra.android","3","accessories","en","0.99","2026-08-18T18:15:36.287695+00:00"
